Material,type,id1,amount1,id2,amount2,id3,amount3,id4,amount4,id5,amount5,id6,amount6,id7,amount7,id8,amount8
10_Pt/TiO2,solid,"TiO2 (A, p25)  - 490775",,,,,,,,,,,,,,,
11_PCN,solid,PCAT_Gee-pt/g-c3n4 - 297109,,,,,,,,,,,,,,,
12_Pt/CdS,solid,CdS - 490784,,,,,,,,,,,,,,,
13_Pt/WO3,solid,WO3  - 490781,,,,,,,,,,,,,,,
20_Xylose-0.25M,subsampling,Xylose 0.25M - 517460,,,,,,,,,,,,,,,
21_Proline,subsampling,L-Proline 0.25M - 517471,,,,,,,,,,,,,,,
22_Cysteine,subsampling,L-Cysteine 0.25M - 517468,,,,,,,,,,,,,,,
23_Glucose,subsampling,Glucose 0.25M - 517463,,,,,,,,,,,,,,,
24_Cellobiose,subsampling,Cellobiose 0.166M - 527245,,,,,,,,,,,,,,,
30_NaOH-0.5M,liquid,NaOH 0.5M - 490805,,,,,,,,,,,,,,,
31_CitricAcid-0.5M,liquid,Citric Acid 0.5M - 517474,,,,,,,,,,,,,,,
32_AcidYellow73,liquid,Acid Yellow 73 10%T - 517477,,,,,,,,,,,,,,,
33_AcidViolet43,liquid,Acid Violet 43 10%T - 517483,,,,,,,,,,,,,,,
34_AcidGreen1,liquid,Acid Green 1 10%T - 517480,,,,,,,,,,,,,,,
water,liquid,Water 1 - 161,,,,,,,,,,,,,,,
Wash,Wash solution,,,,,,,,,,,,,,,,
