form_id,form_datetime,sample_name,calc_%_H2_Avg,calc_%_H2_2STD,calc_%_H2_umol
339475,27/10/2022 12:46,PlateAgilent 5_Vial1,0.480186836,0.010490045,1.308803873
339476,27/10/2022 12:59,PlateAgilent 5_Vial2,0.100440214,0.001518129,0.273761233
339477,27/10/2022 13:11,PlateAgilent 5_Vial3,0.043174203,0.000636098,0.117676203
339478,27/10/2022 13:24,PlateAgilent 5_Vial4,0.853821087,0.02130814,2.327186547
339479,27/10/2022 13:37,PlateAgilent 5_Vial5,0.026934407,0.001324148,0.073412793
339480,27/10/2022 13:49,PlateAgilent 5_Vial6,0.329249664,0.007248781,0.897407433
339481,27/10/2022 14:02,PlateAgilent 5_Vial7,0.034756161,0.001231222,0.094731873
339482,27/10/2022 14:15,PlateAgilent 5_Vial8,0.02542426,0.000958574,0.069296713
339483,27/10/2022 14:27,PlateAgilent 5_Vial9,0.048770689,0.000612825,0.132930065
339484,27/10/2022 14:40,PlateAgilent 5_Vial10,0.070892906,0.000851667,0.193226683
339485,27/10/2022 14:53,PlateAgilent 5_Vial11,0.218772215,0.003845782,0.59628857
339486,27/10/2022 15:05,PlateAgilent 5_Vial12,0.038137854,0.00088144,0.103949063
339487,27/10/2022 15:18,PlateAgilent 5_Vial13,0.551551835,0.012751247,1.503317299
339488,27/10/2022 15:30,PlateAgilent 5_Vial14,0.017101635,0.000473853,0.046612452
339489,27/10/2022 15:41,PlateAgilent 5_Vial15,0.017274561,0.000301718,0.047083783
