form_id,Plate,Vial,form_datetime,sample_name,calc_%_H2_Avg,calc_%_H2_2STD,calc_%_H2_umol,calc_%_H2_umol/h
339501,7,1,27/10/2022 15:55,PlateAgilent 7_Vial1,0.873946813,0.020248993,2.382041505,0.595510376
339502,7,2,27/10/2022 16:08,PlateAgilent 7_Vial2,0.382394031,0.008081906,1.042258453,0.260564613
339503,7,3,27/10/2022 16:21,PlateAgilent 7_Vial3,0.022813452,0.000727755,0.062180661,0.015545165
339504,7,4,27/10/2022 16:33,PlateAgilent 7_Vial4,0.958005071,0.020671071,2.611151853,0.652787963
339505,7,5,27/10/2022 16:46,PlateAgilent 7_Vial5,0.115719081,0.001595852,0.315405526,0.078851381
339506,7,6,27/10/2022 16:59,PlateAgilent 7_Vial6,0.777386754,0.019806305,2.118856073,0.529714018
339507,7,7,27/10/2022 17:11,PlateAgilent 7_Vial7,0.255376741,0.005661457,0.696058373,0.174014593
339508,7,8,27/10/2022 17:24,PlateAgilent 7_Vial8,0.02126957,0.000995841,0.057972635,0.014493159
339509,7,9,27/10/2022 17:37,PlateAgilent 7_Vial9,0.06939476,0.000584838,0.189143317,0.047285829
339510,7,10,27/10/2022 17:49,PlateAgilent 7_Vial10,0.053622698,0.000996944,0.146154766,0.036538692
339511,7,11,27/10/2022 18:02,PlateAgilent 7_Vial11,0.119878006,0.001826215,0.326741148,0.081685287
339512,7,12,27/10/2022 18:15,PlateAgilent 7_Vial12,0.044858114,0.000918824,0.122265895,0.030566474
339513,7,13,27/10/2022 18:27,PlateAgilent 7_Vial13,0.255365688,0.005201981,0.696028245,0.174007061
339514,7,14,27/10/2022 18:39,PlateAgilent 7_Vial14,0.016781296,0.000390456,0.045739333,0.011434833
339515,7,15,27/10/2022 18:50,PlateAgilent 7_Vial15,0.016212682,0.000785591,0.044189511,0.011047378
339516,11,1,27/10/2022 19:04,PlateAgilent 11_Vial1,0.210105578,0.003621784,0.572666666,0.143166666
339517,11,2,27/10/2022 19:17,PlateAgilent 11_Vial2,0.137378765,0.001576967,0.374441459,0.093610365
339518,11,3,27/10/2022 19:30,PlateAgilent 11_Vial3,0.160721622,0.003542055,0.438065072,0.109516268
339519,11,4,27/10/2022 19:42,PlateAgilent 11_Vial4,0.230801225,0.004267958,0.629075006,0.157268752
339520,11,5,27/10/2022 19:54,PlateAgilent 11_Vial5,0.016275953,0.00052683,0.044361962,0.01109049
339521,11,6,27/10/2022 20:07,PlateAgilent 11_Vial6,0.226780592,0.004192359,0.618116315,0.154529079
339522,11,7,27/10/2022 20:19,PlateAgilent 11_Vial7,0.172611266,0.003298147,0.470471651,0.117617913
339523,11,8,27/10/2022 20:32,PlateAgilent 11_Vial8,0.232539801,0.004489155,0.633813693,0.158453423
339524,11,9,27/10/2022 20:45,PlateAgilent 11_Vial9,0.262938615,0.004511238,0.716669119,0.17916728
339525,11,10,27/10/2022 20:56,PlateAgilent 11_Vial10,0.016190866,0.000348729,0.044130049,0.011032512
339526,11,11,27/10/2022 21:09,PlateAgilent 11_Vial11,0.168555135,0.002539724,0.459416204,0.114854051
339527,11,12,27/10/2022 21:22,PlateAgilent 11_Vial12,0.134540816,0.002232607,0.366706307,0.091676577
339528,11,13,27/10/2022 21:34,PlateAgilent 11_Vial13,0.055403379,0.000423278,0.151008216,0.037752054
339529,11,14,27/10/2022 21:47,PlateAgilent 11_Vial14,0.047191136,0.000466254,0.128624813,0.032156203
339530,11,15,27/10/2022 21:58,PlateAgilent 11_Vial15,0.015806522,0.000445955,0.043082474,0.010770618
339531,14,1,27/10/2022 22:12,PlateAgilent 14_Vial1,0.01900334,0.000940364,0.051795766,0.012948941
339532,14,2,27/10/2022 22:25,PlateAgilent 14_Vial2,0.022207024,0.00107219,0.060527771,0.015131943
339533,14,3,27/10/2022 22:38,PlateAgilent 14_Vial3,0.022132987,0.000658938,0.060325975,0.015081494
339534,14,4,27/10/2022 22:51,PlateAgilent 14_Vial4,0.019839831,0.000825668,0.054075716,0.013518929
339535,14,5,27/10/2022 23:02,PlateAgilent 14_Vial5,0.015479861,0.000782498,0.042192122,0.010548031
339536,14,6,27/10/2022 23:15,PlateAgilent 14_Vial6,0.018137202,0.001407895,0.049435008,0.012358752
339537,14,7,27/10/2022 23:27,PlateAgilent 14_Vial7,0.018075619,0.000893316,0.049267157,0.012316789
339538,14,8,27/10/2022 23:40,PlateAgilent 14_Vial8,0.018029816,0.0018216,0.049142315,0.012285579
339539,14,9,27/10/2022 23:53,PlateAgilent 14_Vial9,0.019201275,0.000297,0.052335259,0.013083815
339540,14,10,28/10/2022 00:04,PlateAgilent 14_Vial10,0.015421632,0.00038224,0.042033412,0.010508353
339541,14,11,28/10/2022 00:16,PlateAgilent 14_Vial11,0.017314477,0.001230223,0.047192577,0.011798144
339542,14,12,28/10/2022 00:29,PlateAgilent 14_Vial12,0.018065341,0.001060171,0.049239142,0.012309786
339543,14,13,28/10/2022 00:41,PlateAgilent 14_Vial13,0.018160975,0.002042765,0.049499805,0.012374951
339544,14,14,28/10/2022 00:54,PlateAgilent 14_Vial14,0.018796676,0.000669625,0.051232479,0.01280812
339545,14,15,28/10/2022 01:05,PlateAgilent 14_Vial15,0.01516117,0.001212869,0.041323495,0.010330874
